+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;19;01;T;ATIVO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;27;01.1;T; ATIVO CIRCULANTE;;Ativo;Balanço Patrimonial;;;;90011;Comum
;35;01.1.1;T;  DISPONIBILIDADES;;Ativo;Balanço Patrimonial;;;;90011;Comum
;43;01.1.1.01;T;   CAIXA;;Ativo;Balanço Patrimonial;;;;90011;Comum
;51;01.1.1.01.001;;    Caixa;CX;Ativo;Balanço Patrimonial;;;;90011;Comum
;60;01.1.1.02;T;   BANCOS CONTA MOVIMENTO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;78;01.1.1.02.001;;    Banco do Brasil S/A;BB;Ativo;Balanço Patrimonial;;;;90011;Comum
;86;01.1.1.02.002;;    Caixa Econômica Federal S/A;CEF;Ativo;Balanço Patrimonial;;;;90011;Comum
;94;01.1.1.02.003;;    Bradesco S/A;BBD;Ativo;Balanço Patrimonial;;;;90011;Comum
;122026;01.1.1.02.004;;    Banrisul (Forte);Banri;Ativo;Balanço Patrimonial;;;;90011;Comum
;108;01.1.1.03;T;   APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;;Ativo;Balanço Patrimonial;;;;90011;Comum
;116;01.1.1.03.001;;    Banco do Brasil;FAFBB;Ativo;Balanço Patrimonial;;;;90011;Comum
;124;01.1.1.03.002;;    Caixa Econômica Federal;FAFCEF;Ativo;Balanço Patrimonial;;;;90011;Comum
;132;01.1.2;T;  DIREITOS REALIZÁVEIS A CURTO PRAZO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;140;01.1.2.01;T;   CLIENTES NACIONAIS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;159;01.1.2.01.001;;    Clientes nacionais;CD;Ativo;Balanço Patrimonial;;;;90011;Comum
;100002;01.1.2.02;T;   CLIENTES INTERNACIONAIS;;Ativo;Balanço Patrimonial;;;;90011;Comum
